6.794682,0.078913
4.504328,0.188826
4.512276,0.776085
1.718700,0.424202
1.699197,1.026758
1.126010,1.450647
1.143466,1.571216
0.577092,1.576635
0.127689,1.563668
-0.493233,1.554340
-0.868307,1.539245
-1.158565,1.528588
-1.204406,1.418342
-1.198501,1.283374
-1.203389,1.284104
-1.138117,1.149676
-1.144574,1.148967
-1.080456,0.761401
-1.069855,0.495775
-1.036931,0.329561
-1.036931,0.0
-1.117209,-0.335952
-1.117209,-0.635952
-1.131933,-0.913965
-0.885365,-0.926104
-0.803139,-1.550259
-0.338280,-1.528231
0.0,-1.528231
0.061002,-1.543379
0.408869,-1.482775
1.179835,-1.485597
1.493984,-1.406903
1.527030,-1.047678
1.528017,-1.047230
1.875051,-1.095050
1.949824,-0.948757
6.691062,-0.792778
6.687706,-0.374561
6.794682,0.078913
